iter	Passed	Remaining
883	3269	4127
884	3273	4124
885	3277	4120
886	3280	4116
887	3284	4112
888	3287	4109
889	3291	4105
890	3295	4101
891	3299	4097
892	3302	4093
893	3306	4090
894	3309	4086
895	3313	4082
896	3316	4078
897	3320	4074
898	3324	4070
899	3327	4067
900	3331	4063
901	3334	4059
902	3338	4055
903	3342	4052
904	3346	4048
905	3349	4045
906	3353	4041
907	3357	4037
908	3360	4033
909	3364	4029
910	3368	4026
911	3371	4022
912	3375	4018
913	3379	4014
914	3382	4010
915	3386	4007
916	3389	4003
917	3393	3999
918	3397	3996
919	3400	3992
920	3404	3988
921	3408	3985
922	3412	3981
923	3415	3977
924	3419	3973
925	3422	3969
926	3426	3966
927	3430	3962
928	3433	3958
929	3437	3954
930	3440	3951
931	3444	3947
932	3448	3943
933	3451	3939
934	3455	3935
935	3459	3932
936	3462	3928
937	3466	3924
938	3470	3920
939	3473	3916
940	3477	3913
941	3480	3909
942	3484	3905
943	3487	3901
944	3491	3897
945	3494	3893
946	3498	3890
947	3502	3886
948	3505	3882
949	3509	3878
950	3512	3874
951	3516	3870
952	3520	3867
953	3523	3863
954	3527	3859
955	3530	3855
956	3534	3851
957	3538	3848
958	3541	3844
959	3545	3840
960	3548	3836
961	3552	3833
962	3556	3829
963	3559	3825
964	3563	3821
965	3566	3817
966	3570	3814
967	3574	3810
968	3578	3806
969	3581	3803
970	3585	3799
971	3589	3795
972	3592	3792
973	3596	3788
974	3599	3784
975	3603	3780
976	3606	3776
977	3610	3772
978	3614	3769
979	3617	3765
980	3621	3761
981	3624	3757
982	3628	3753
983	3631	3749
984	3635	3746
985	3638	3742
986	3642	3738
987	3646	3734
988	3649	3730
989	3653	3726
990	3656	3723
991	3660	3719
992	3664	3715
993	3667	3712
994	3671	3708
995	3675	3704
996	3679	3701
997	3683	3698
998	3686	3694
999	3690	3690
1000	3693	3686
1001	3697	3682
1002	3701	3679
1003	3705	3675
1004	3709	3672
1005	3712	3668
1006	3716	3664
1007	3720	3661
1008	3723	3657
1009	3727	3653
1010	3731	3649
1011	3734	3645
1012	3738	3642
1013	3741	3638
1014	3745	3634
1015	3748	3630
1016	3752	3626
1017	3755	3623
1018	3759	3619
1019	3763	3615
1020	3766	3611
1021	3770	3608
1022	3774	3604
1023	3777	3600
1024	3781	3597
1025	3785	3593
1026	3788	3589
1027	3792	3585
1028	3796	3582
1029	3799	3578
1030	3803	3574
1031	3806	3570
1032	3810	3566
1033	3814	3563
1034	3817	3559
1035	3821	3555
1036	3825	3552
1037	3828	3548
1038	3832	3545
1039	3836	3541
1040	3840	3537
1041	3843	3533
1042	3847	3529
1043	3850	3525
1044	3854	3522
1045	3857	3518
1046	3861	3514
1047	3865	3511
1048	3869	3507
1049	3872	3503
1050	3876	3500
1051	3880	3496
1052	3883	3492
1053	3887	3488
1054	3890	3485
1055	3894	3481
1056	3897	3477
1057	3901	3473
1058	3905	3469
1059	3908	3466
1060	3912	3462
1061	3915	3458
1062	3919	3454
1063	3922	3450
1064	3926	3446
1065	3929	3443
1066	3933	3439
1067	3936	3435
1068	3940	3431
1069	3943	3427
1070	3947	3424
1071	3951	3420
1072	3954	3416
1073	3958	3412
1074	3961	3408
1075	3965	3405
1076	3969	3401
1077	3972	3397
1078	3976	3393
1079	3979	3389
1080	3982	3385
1081	3986	3381
1082	3989	3378
1083	3992	3374
1084	3996	3370
1085	4000	3366
1086	4003	3362
1087	4007	3359
1088	4010	3355
1089	4014	3351
1090	4018	3347
1091	4021	3343
1092	4024	3340
1093	4028	3336
1094	4032	3332
1095	4035	3328
1096	4038	3324
1097	4042	3320
1098	4045	3316
1099	4049	3313
1100	4052	3309
1101	4056	3305
1102	4060	3301
1103	4064	3298
1104	4067	3294
1105	4071	3290
1106	4074	3287
1107	4078	3283
1108	4081	3279
1109	4085	3276
1110	4089	3272
1111	4093	3268
1112	4096	3265
1113	4100	3261
1114	4104	3257
1115	4107	3253
1116	4111	3250
1117	4115	3246
1118	4118	3242
1119	4121	3238
1120	4125	3234
1121	4128	3230
1122	4132	3227
1123	4135	3223
1124	4139	3219
1125	4143	3215
1126	4146	3212
1127	4150	3208
1128	4153	3204
1129	4157	3200
1130	4160	3196
1131	4164	3193
1132	4167	3189
1133	4171	3185
1134	4175	3181
1135	4178	3178
1136	4182	3174
1137	4186	3171
1138	4189	3167
1139	4193	3163
1140	4196	3159
1141	4200	3155
