순번,매장명,사업자번호,주소
193,GTS BURGER 성수점,7743101410,"서울특별시 성동구 뚝섬로17가길 48 (성수동2가, 성수에이원 지식산업센터 )1층 102호"
194,양가네1인김치찜도시락 성동구점,8713301170,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 201동)403동 127호"
195,한식끝판왕 왕십리점,1481302111,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 201동)403동 127호"
196,마왕삼겹 왕십리점,1481302111,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 201동)403동 127호"
197,양가네1인김치찜도시락 왕십리점,1481302111,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 201동)403동 127호"
198,양가네고기듬뿍김치찜 왕십리점,1481302111,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 201동)403동 127호"
199,한식끝판왕 성동구점,8713301170,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 201동)403동 127호"
200,마왕삼겹 성동구점,8713301170,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 201동)403동 127호"
201,양가네고기듬뿍김치찜 성동구점,8713301170,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 201동)403동 127호"
202,청년피자 행당점 ,6812401560,서울특별시 성동구 무학봉길 54-1 (하왕십리동 )1층
203,승우네밥집,2952100879,서울특별시 성동구 왕십리로21가길 1 (행당동 )1층 좌측
204,국밥생각,1821801631,서울특별시 성동구 독서당로 276 (금호4가동)1층 102호 
205,그릭서울,7574001019,서울특별시 성동구 독서당로 329 (금호동3가 )1층
206,카페스니즈(CAFE SNI:Z),8210401684,서울특별시 성동구 마조로1길 39 (행당동 )1층
207,고기폭탄김치찜 금호점,5910502343,"서울특별시 성동구 금호로 127 (금호동2가, 금호자이1차 상가동)지하2층13-1"
208,육회대왕&연어여왕 왕십리점,8730301223,서울특별시 성동구 고산자로8길 20 (행당제1동)1층 2호(행당동)
209,피자헤븐 한양대점,5240800671,서울특별시 성동구 사근동길 4 (사근동)2층
210,엄마카츠 아빠카레,5053716565,"서울특별시 성동구 마조로 17 (행당동, 한양시장 )1층 33호"
211,굽네치킨&피자 성수1호점,2755400607,"서울특별시 성동구 상원1길 26 (성수동1가, 서울숲A타워 )1층 108-2호"
212,빽다방 포장 뚝섬역점,2830702072,서울특별시 성동구 아차산로 48 (성수동1가 )1층
213,슬로우레빗,2063213593,서울특별시 성동구 용답중앙13길 15-1 (용답동 )
214,왕십리마라탕,1773700586,서울특별시 성동구 무학로2길 35 (도선동 )지하1층
215,청년감자탕 순대국 왕십리역점,2110628518,서울특별시 성동구 마조로5길 5 (행당동 )1층
216,망티커피 성수점,7261901724,서울특별시 성동구 연무장3길 17 (성수동2가 )1층
217,헬스클럽 샐러드&요거트,5800602393,서울특별시 성동구 광나루로11길 42 (송정동 )1층 1호
